"Add New Row","Add New Row"
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Can\'t connect to remote host, error: %s","Can\'t connect to remote host, error: %s"
"Canceled","Canceled"
"Date","Date"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Downloadable Information","Downloadable Information"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Downloadable Product Options"
"Downloadable product","Downloadable product"
"Downloadable product Section","Downloadable product Section"
"Excl. Tax","Excl. Tax"
"File","File"
"File does not exists","File does not exists"
"Gift Message","Gift Message"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Incl. Tax","Incl. Tax"
"Invalid download URL host","Invalid download URL host"
"Invalid download URL scheme","Invalid download URL scheme"
"Invalid download link type","Invalid download link type"
"Link is expiry.","Link is expiry."
"Link is not available.","Link is not available."
"Links","Links"
"Links can be purchased separately","Links can be purchased separately"
"Max. Downloads","Max. Downloads"
"My Downloadable Products","My Downloadable Products"
"Order #","Order #"
"Order Status to enable Downloads","Order Status to enable Downloads"
"Ordered","Ordered"
"Please log in first.","Please log in first."
"Please set resource file and link type","Please set resource file and link type"
"Please specify product link(s).","Please specify product link(s)."
"Price","Price"
"Refunded","Refunded"
"Remaining Downloads","Remaining Downloads"
"Remove item","Remove item"
"Sample","Sample"
"Samples","Samples"
"Shareable","Shareable"
"Shipped","Shipped"
"Sorry, the was an error getting requested content. Please contact store owner.","Sorry, the was an error getting requested content. Please contact store owner."
"Sort Order","Sort Order"
"Start Download","Start Download"
"Status","Status"
"Title","Title"
"Unlimited","Unlimited"
"View Order","View Order"
"sample","sample"
