"AUTHENTICATE","AUTHENTICATE"
"Customer successfully returned from Protx","Customer successfully returned from Protx"
"Customer was redirected to Protx","Customer was redirected to Protx"
"Customer was returned from Protx.","Customer was returned from Protx."
"DEFERRED","DEFERRED"
"Debug","Debug"
"Enabled","Enabled"
"Live","Live"
"Mode","Mode"
"New order status","New order status"
"Order ","Order "
"Order total amount does not match protx gross total amount","Order total amount does not match protx gross total amount"
"PAYMENT","PAYMENT"
"Payment Action","Payment Action"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Protx Standard","Protx Standard"
"Simulator","Simulator"
"Sort order","Sort order"
"Test","Test"
"Title","Title"
"Transaction Description","Transaction Description"
"Vendor encrypted password","Vendor encrypted password"
"Vendor name","Vendor name"
"You will be redirected to protx in a few seconds.","You will be redirected to protx in a few seconds."
